size,zone,r2
28,2023.0_17_Client_H,0.034794362664243045
27,2023.0_18_Client_H,0.18000626960896302
29,2023.0_19_Client_H,0.11770644474563859
33,2023.0_1_Client_H,0.08009178762744983
28,2023.0_20_Client_H,0.322660591799574
26,2023.0_21_Client_H,0.12339313242576833
28,2023.0_22_Client_H,0.028689006446288037
20,2023.0_23_Client_H,0.0662470595498914
27,2023.0_24_Client_E,0.18581212366091424
25,2023.0_24_Client_H,0.08370828229886698
25,2023.0_25_Client_H,0.025641551491535054
32,2023.0_26_Client_H,0.10166585673501652
27,2023.0_27_Client_H,0.008208463312488886
29,2023.0_28_Client_H,0.002012226537669088
31,2023.0_30_Client_H,0.057556874549981416
28,2023.0_31_Client_H,0.06731309138250831
27,2023.0_32_Client_H,0.2526211462148547
28,2023.0_34_Client_H,0.27428285391122015
24,2023.0_35_Client_O,0.0985718671585116
30,2023.0_36_Client_H,0.007004659956017855
33,2023.0_37_Client_H,0.23813269312022156
21,2023.0_38_Client_H,0.010768333528202062
37,2023.0_39_Client_E,0.003624503236343294
83,2023.0_39_Client_H,0.274854483083682
32,2023.0_3_Client_H,0.2972483956751408
37,2023.0_40_Client_O,0.062310079574980935
25,2023.0_41_Client_H,0.0031442956155553563
26,2023.0_42_Client_H,0.2846506972853319
24,2023.0_43_Client_H,0.014973271547165271
36,2023.0_44_Client_H,0.29041891931113334
22,2023.0_47_Client_H,0.19492151960397047
24,2023.0_48_Client_H,0.16593686043868477
32,2023.0_50_Client_H,0.05061460015780742
28,2023.0_51_Client_H,0.23237389570532418
28,2023.0_52_Client_H,0.4167995573203932
25,2023.0_53_Client_E,0.35238802511632333
27,2023.0_53_Client_H,0.17813675997855047
27,2023.0_54_Client_H,0.15273158648951368
29,2023.0_55_Client_H,0.3337737934610104
29,2023.0_56_Client_H,0.07108062135509825
27,2023.0_58_Client_H,0.19341736014567912
30,2023.0_59_Client_H,0.6234839263655688
40,2023.0_5_Client_H,0.011660600787157603
33,2023.0_60_Client_H,0.044535648405049866
22,2023.0_61_Client_H,0.5408234885275847
26,2023.0_63_Client_E,0.3121193719889198
78,2023.0_63_Client_H,0.07562177211136882
22,2023.0_65_Client_H,0.08013340899315761
25,2023.0_66_Client_H,0.005259596415421011
21,2023.0_67_Client_H,0.06498222193221996
32,2023.0_68_Client_H,0.004882349728114046
25,2023.0_6_Client_H,0.24958054341946764
38,2023.0_70_Client_H,0.23086774513051697
28,2023.0_72_Client_H,0.012336302651286659
23,2023.0_73_Client_H,9.766045194188014e-4
23,2023.0_75_Client_H,0.009271003053917228
48,2023.0_76_Client_H,0.04320362900528017
23,2023.0_77_Client_O,0.1106089502753826
28,2023.0_78_Client_H,0.2630418424315631
38,2023.0_7_Client_H,0.18739851659585302
26,2023.0_80_Client_O,0.007356467159221601
31,2023.0_81_Client_H,0.38835988704730884
35,2023.0_82_Client_E,0.3054282136919209
27,2023.0_82_Client_H,0.35913297209999506
29,2023.0_84_Client_H,0.09710731896085047
24,2023.0_86_Client_H,0.13450481255277363
51,2023.0_87_Client_H,0.3775719531420167
27,2023.0_88_Client_H,0.3488916085151951
21,2023.0_89_Client_H,7.55314717855378e-5
32,2023.0_8_Client_H,0.007437543626919442
36,2023.0_90_Client_H,0.09812623022547971
22,2023.0_91_Client_H,0.18817148282276908
23,2023.0_92_Client_H,0.05020139180339475
25,2023.0_94_Client_H,0.3407085291942286
31,2023.0_95_Client_H,0.012358548417591058
29,2023.0_96_Client_H,0.003978055412900982
21,2023.0_97_Client_H,0.3600304008631271
24,2023.0_98_Client_O,3.816403240336917e-4
31,2023.0_99_Client_H,0.0043834629247324975
43,2023.0_9_Client_H,0.17390809044287298
